model,set,condition,verse,word,ok,single_token
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.28.9,עתיקי,1,0
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.28.9,ואת,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.28.9,שמועה,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.28.9,משדים,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.28.9,את,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.28.9,מי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.28.9,יורה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.28.9,מי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.28.9,שמועה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.28.9,גמולי,1,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.28.9,יבין,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.28.9,שמועה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.28.9,גמולי,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.28.9,מחלב,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.28.9,עתיקי,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.28.9,משדים,0,0
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.49.15,בטנה,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.49.15,בן,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.49.15,אלה,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.49.15,לא,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.15,עולה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.15,בן,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.15,בטנה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.15,תשכחנה,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.15,לא,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.15,אשכחך,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.15,גם,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.15,אלה,0,1
